"pomme"	"pomme de terre"	"fruit"	"légume"
"pomme de fer"			
"pomme de geai"			
"pomme de rever"			
"pomme de risoul"			
"pomme de sore"			
"pomme d'enfer"			
"pomme dieu"			
"pomme figuier"			
"pomme du limousin"			
"pomme marais"			
"sauergrauech"			
"pomme ravaillac"			
"pomme sauvage"			
"tentation delblush"			
"pomme the queen"			
"précoce de wirwignes"			
"précoce du nivot"			
"quarantaine d'hiver"			
"racine blanche de l'allier"			
"rambour"			
"reinette blanche de beussent"			
"reinette blanche de biozat"			
"reinette blanche du canada"			
"reinette d'ambourn"			
"reinette d'armorique"			
"reinette de bayeux"			
"reinette de bailleul gros hôpital"			
"reinette de bihorel"			
"reinette de caen"			
"reinette de dieppedalle"			
"reinette de champagne"			
"reinette de flandre"			
"reinette de france"			
"reinette de fugélan"			
"reinette de granville"			
"reinette de savoie"			
"reinette des capucins"			
"reinette descardre"			
"reinette dorée de blenheim"			
"reinette du mans"			
"reinette du neubourg"			
"reinette de paris"			
"reinette de rouen"			
"reinette étoilée"			
"reinette franche"			
"reinette grise de pontoise"			
"reinette grise de saintonge"			
"reinette grise du canada"			
"reinette normande"			
"reinette rouge parmentier"			
"reinette verte de mende"			
"richard"			
"rose de berne"			
"rouget de born"			
"rouvezeau"			
"sang de bœuf"			
"six côtes"			
"teint frais"			
"tapon"			
"transparente blanche"			
"transparente de bois guillaume"			
"transparente de croncels"			
"verdin d'automne"			
"verdin d'hiver"			
"violette"			
